date,close,v,RSI,OT
2008-01-22,91.38,1.97,48.372513562386985,0
2008-01-23,92.0,1.69,49.78012313104662,1
2008-01-24,92.38,2.09,48.604860486048594,0
2008-01-25,92.6,1.89,53.91389432485321,0
2008-01-28,90.4,0.88,54.01960784313726,1
2008-01-29,92.9,0.94,60.249554367201455,0
2008-01-30,92.32,1.18,64.31969552806851,0
2008-01-31,91.0,1.46,54.58290422245109,0
2008-02-01,90.46,0.92,57.98687089715533,1
2008-02-04,90.02,0.7,59.78567399887197,1
2008-02-05,90.9,0.85,66.05293440736483,1
2008-02-06,90.8,0.61,68.90756302521007,1
2008-02-07,90.76,0.74,63.34269662921352,1
2008-02-08,91.84,0.7,63.18758815232725,1
2008-02-11,92.9,0.82,56.35451505016727,1
2008-02-12,93.18,1.53,55.07745266781414,1
2008-02-13,95.36,2.54,61.102831594634885,1
2008-02-14,95.38,1.44,60.51437216338881,0
2008-02-15,95.9,0.77,73.83015597920273,0
2008-02-19,95.8,0.84,65.86433260393864,0
2008-02-20,95.5,0.6,67.94582392776525,0
2008-02-21,94.02,0.63,66.74057649667398,0
2008-02-22,92.96,0.65,63.102725366876285,1
2008-02-25,93.12,0.6,66.73866090712741,1
2008-02-26,92.52,0.71,59.02004454342976,0
2008-02-27,93.69,0.54,64.37810945273628,0
2008-02-28,93.2,0.7,61.61904761904758,0
2008-02-29,93.49,0.91,58.49639546858902,0
2008-03-03,90.18,2.07,38.62876254180603,0
2008-03-04,91.5,1.3,43.53846153846151,0
2008-03-05,92.18,0.95,36.17391304347832,0
2008-03-06,90.44,0.76,31.316187594553757,0
2008-03-07,89.24,1.01,26.043165467625897,0
2008-03-10,87.26,1.14,22.940430925221836,0
2008-03-11,88.0,1.28,26.880394574599265,0
2008-03-12,87.14,0.91,27.94871794871796,0
2008-03-13,86.68,0.81,29.06666666666669,0
2008-03-14,86.36,1.15,27.704485488126608,1
2008-03-17,84.9,1.42,26.217228464419463,1
2008-03-18,86.11,0.94,26.400996264009905,0
2008-03-19,85.31,1.02,25.90103848503354,1
2008-03-20,86.96,1.48,31.584884376762503,1
2008-03-24,86.82,1.11,38.4615384615384,1
2008-03-25,86.0,1.16,30.44096728307251,1
2008-03-26,85.65,1.01,26.219956300072766,1
2008-03-27,87.4,1.01,38.937409024745264,0
2008-03-28,89.04,0.9,49.29478138222853,0
2008-03-31,89.46,1.14,58.71632329635498,0
2008-04-01,88.8,1.81,53.18979266347688,0
2008-04-02,87.29,1.53,50.56861258529191,1
2008-04-03,86.84,0.91,50.60698027314111,1
2008-04-04,87.38,0.82,53.80597014925374,1
2008-04-07,88.1,0.74,62.63823064770933,0
2008-04-08,88.3,0.83,59.39914163090132,0
2008-04-09,87.8,0.8,60.969162995594736,0
2008-04-10,87.58,0.72,53.12500000000003,0
2008-04-11,87.08,0.74,51.264591439688736,0
2008-04-14,85.72,1.07,48.70609981515711,1
2008-04-15,85.8,0.77,50.71090047393361,0
2008-04-16,86.4,0.1,44.68085106382978,0
2008-04-17,85.64,0.83,30.046948356807437,0
2008-04-18,85.76,1.11,27.49391727493924,0
2008-04-21,85.5,0.74,28.90025575447575,0
2008-04-22,84.82,0.75,32.33190271816878,1
2008-04-23,84.72,0.7,34.036144578313255,1
2008-04-24,84.5,0.83,27.215189873417827,1
2008-04-25,84.6,0.77,19.29824561403518,1
2008-04-28,85.42,1.05,27.215189873417827,1
2008-04-29,87.66,0.88,49.13151364764268,0
2008-04-30,89.14,1.34,58.369098712446345,0
2008-05-01,89.2,0.74,61.93693693693693,0
2008-05-02,88.96,0.921,70.87628865979369,0
2008-05-05,86.67,1.43,54.363089267803424,0
2008-05-06,86.9,1.68,52.60416666666666,0
2008-05-07,85.25,1.59,48.14108674928504,0
2008-05-08,85.6,1.09,49.25373134328353,0
2008-05-09,83.58,1.84,42.30769230769231,0
2008-05-12,81.9,1.95,39.16913946587541,0
2008-05-13,82.96,1.14,43.90581717451521,0
2008-05-14,82.39,2.0,42.86680189317105,0
2008-05-15,81.3,2.04,39.543726235741445,0
2008-05-16,81.54,1.57,37.236842105263165,1
2008-05-19,82.39,1.34,30.91962346125996,1
2008-05-20,82.02,1.39,21.968503937007824,1
2008-05-21,81.2,1.18,20.28231797919757,1
2008-05-22,82.11,1.07,25.7607926397735,1
2008-05-23,82.6,1.54,33.495539334955325,1
2008-05-27,85.9,3.01,46.75324675324675,1
2008-05-28,86.76,2.35,55.16769336071187,1
2008-05-29,88.02,2.27,57.79639175257734,0
2008-05-30,89.96,8.93,70.66062176165806,0
2008-06-02,87.8,1.85,68.53015075376885,0
2008-06-03,89.4,1.84,69.56257594167684,0
2008-06-04,87.0,1.62,62.60251503553854,0
2008-06-05,87.1,1.35,66.76300578034682,0
2008-06-06,85.72,0.77,61.33405639913232,0
2008-06-09,84.84,1.06,56.6323768272875,1
2008-06-10,84.5,0.84,56.724511930585706,0
2008-06-11,84.4,0.93,59.02934537246051,0
2008-06-12,84.5,1.47,57.0668243642815,0
2008-06-13,84.94,1.01,56.939501779359446,0
2008-06-16,83.96,0.78,43.328748280605176,0
2008-06-17,84.14,0.92,40.54834054834052,0
2008-06-18,83.98,1.39,34.169278996865216,0
2008-06-19,83.26,0.59,20.970537261698468,0
2008-06-20,83.08,0.91,25.31380753138076,0
2008-06-23,81.3,0.95,8.418891170431152,0
2008-06-24,81.84,0.9,17.258883248730967,0
2008-06-25,81.34,0.71,15.2173913043479,0
2008-06-26,80.75,1.31,16.822429906542112,0
2008-06-27,80.33,1.2,17.923186344239014,0
2008-06-30,80.24,1.21,18.58407079646021,0
2008-07-01,79.98,1.24,18.15561959654184,0
2008-07-02,78.96,1.2,14.758269720101865,1
2008-07-03,77.9,1.87,8.490566037735988,1
2008-07-07,78.82,1.84,19.47743467933492,0
2008-07-08,79.34,1.27,22.602739726027423,0
2008-07-09,79.7,0.77,26.116071428571445,0
2008-07-10,79.48,0.62,27.659574468085125,0
2008-07-11,78.18,1.03,24.425887265135746,0
2008-07-14,77.14,1.29,26.470588235294144,1
2008-07-15,76.64,2.03,20.454545454545425,1
2008-07-16,75.8,1.79,19.69365426695839,1
2008-07-17,77.3,1.4,32.835820895522374,1
2008-07-18,78.28,1.63,40.33930254476909,0
2008-07-21,78.74,1.01,43.16939890710382,0
2008-07-22,78.72,1.07,44.13407821229048,0
2008-07-23,78.5,2.71,47.68611670020123,0
2008-07-24,76.92,1.01,45.315487571701695,0
2008-07-25,75.4,1.26,34.53887884267637,1
2008-07-28,74.6,1.12,29.10052910052906,1
2008-07-29,74.3,1.15,26.063829787234013,1
2008-07-30,76.1,2.24,36.858475894245686,1
2008-07-31,76.58,1.23,43.35548172757471,1
2008-08-01,77.74,0.84,52.46710526315788,0
2008-08-04,76.54,0.53,49.611197511664095,1
2008-08-05,76.98,1.56,54.73515248796151,1
2008-08-06,77.56,0.8,51.12651646447143,0
2008-08-07,77.08,1.88,44.56521739130433,0
2008-08-08,76.96,1.13,41.6822429906542,1
2008-08-11,78.2,1.65,47.81879194630874,1
2008-08-12,76.76,0.88,43.37899543378997,1
2008-08-13,76.1,1.4,46.64484451718492,1
2008-08-14,77.86,1.07,59.87158908507219,0
2008-08-15,80.0,1.16,69.56521739130434,0
2008-08-18,78.48,0.8,63.91478029294275,0
2008-08-19,78.0,0.87,56.934306569343086,0
2008-08-20,77.1,0.86,51.84135977337109,0
2008-08-21,76.7,0.7,46.10778443113776,1
2008-08-22,77.4,0.64,53.34370139968895,1
2008-08-25,77.33,1.05,51.40112089671735,1
2008-08-26,77.04,0.77,47.868852459016416,1
2008-08-27,77.1,0.89,50.08488964346348,1
2008-08-28,78.6,0.88,56.23100303951368,1
2008-08-29,78.04,0.84,49.35897435897437,1
2008-09-02,79.99,1.51,62.43264049268666,0
2008-09-03,80.29,0.89,66.5874901029296,0
2008-09-04,78.92,0.97,54.330065359477146,0
2008-09-05,78.24,0.82,41.83673469387752,0
2008-09-08,79.92,1.27,56.581352833638014,0
2008-09-09,79.07,0.92,54.73032714412021,1
2008-09-10,77.9,1.47,53.4542314335061,1
2008-09-11,78.22,0.69,56.6086956521739,1
2008-09-12,79.6,1.88,59.03119868637107,1
2008-09-15,80.3,2.51,61.59250585480096,1
2008-09-16,83.5,2.74,70.5470737913486,1
2008-09-17,83.3,2.7,69.54602774274906,1
2008-09-18,85.0,2.98,69.92528019925282,1
2008-09-19,91.9,3.5,80.93749999999997,0
2008-09-22,87.1,1.94,64.07920792079206,1
2008-09-23,86.0,1.08,60.959692898272536,1
2008-09-24,89.5,2.25,68.7721788502484,0
2008-09-25,88.8,1.54,68.72340425531914,1
2008-09-26,88.5,1.05,65.99552572706935,1
2008-09-29,89.16,1.71,68.9447990987608,1
2008-09-30,87.9,1.77,68.7125748502994,0
2008-10-01,91.3,2.86,71.94630872483222,0
2008-10-02,92.16,3.7,71.44808743169399,0
2008-10-03,93.0,2.63,71.5839564921822,0
2008-10-06,87.8,3.11,56.84277530235519,0
2008-10-07,82.5,2.46,48.90470974808324,0
