,open,high,low,close,volume,date,dividend,split
2014-01-02,69.83000183105469,70.02999877929688,69.0999984741211,69.30000305175781,1803100,2014-01-02,0,1
2014-01-03,69.62000274658203,69.9000015258789,69.23999786376953,69.37000274658203,1634200,2014-01-03,0,1
2014-01-06,69.77999877929688,69.87999725341797,68.6500015258789,68.8499984741211,2492000,2014-01-06,0,1
2014-01-07,69.01000213623047,69.12999725341797,68.44999694824219,68.9000015258789,3025900,2014-01-07,0,1
2014-01-08,68.86000061035156,68.98999786376953,68.25,68.55000305175781,2755900,2014-01-08,0,1
2014-01-09,68.88999938964844,69.73999786376953,68.0199966430664,68.2699966430664,3431600,2014-01-09,0,1
2014-01-10,68.52999877929688,68.91000366210938,67.91999816894531,68.55000305175781,3569700,2014-01-10,0,1
2014-01-13,68.41999816894531,69.29000091552734,67.93000030517578,68.05000305175781,3519500,2014-01-13,0,1
2014-01-14,68.36000061035156,69.2300033569336,68.11000061035156,69.20999908447266,2780800,2014-01-14,0,1
2014-01-15,69.23999786376953,69.98999786376953,69.19999694824219,69.77999877929688,2088200,2014-01-15,0,1
2014-01-16,69.69999694824219,70.29000091552734,69.54000091552734,69.94999694824219,2068700,2014-01-16,0,1
2014-01-17,69.7300033569336,70.0199966430664,68.95999908447266,69.12000274658203,3596500,2014-01-17,0,1
2014-01-21,69.37000274658203,69.9000015258789,69.1500015258789,69.55000305175781,2359800,2014-01-21,0,1
2014-01-22,69.58999633789062,69.62999725341797,68.51000213623047,68.95999908447266,2954000,2014-01-22,0,1
2014-01-23,68.44000244140625,68.48999786376953,67.11000061035156,67.3499984741211,4368700,2014-01-23,0,1
2014-01-24,66.54000091552734,66.83000183105469,65.26000213623047,65.26000213623047,5518400,2014-01-24,0,1
2014-01-27,65.20999908447266,66.05000305175781,64.6500015258789,65.5199966430664,4461400,2014-01-27,0,1
2014-01-28,65.70999908447266,66.41999816894531,65.62999725341797,66.33999633789062,3777400,2014-01-28,0,1
2014-01-29,65.70999908447266,66.29000091552734,65.5199966430664,65.66999816894531,3673800,2014-01-29,0,1
2014-01-30,66.12000274658203,66.7300033569336,65.7300033569336,66.58000183105469,2806100,2014-01-30,0,1
2014-01-31,65.4000015258789,66.44000244140625,65.31999969482422,65.94000244140625,2577200,2014-01-31,0,1
2014-02-03,65.86000061035156,66.30000305175781,64.18000030517578,64.25,4708100,2014-02-03,0,1
2014-02-04,63.52000045776367,65.0,62.25,64.05999755859375,5501300,2014-02-04,0,1
2014-02-05,63.779998779296875,64.12000274658203,63.290000915527344,63.7599983215332,3943600,2014-02-05,0,1
2014-02-06,63.779998779296875,64.41000366210938,63.72999954223633,63.939998626708984,3110500,2014-02-06,0,1
2014-02-07,64.37999725341797,65.26000213623047,64.23999786376953,65.19000244140625,2604000,2014-02-07,0,1
2014-02-10,64.93000030517578,65.0,64.4800033569336,64.98999786376953,2613100,2014-02-10,0,1
2014-02-11,65.06999969482422,65.29000091552734,64.54000091552734,64.94999694824219,3244800,2014-02-11,0,1
2014-02-12,64.77999877929688,65.38999938964844,64.6500015258789,65.11000061035156,3475500,2014-02-12,0,1
2014-02-13,64.55999755859375,64.70999908447266,63.95000076293945,64.54000091552734,4202700,2014-02-13,0,1
2014-02-14,64.38999938964844,64.97000122070312,64.0,64.51000213623047,4420300,2014-02-14,0,1
2014-02-18,64.44000244140625,64.55999755859375,63.7599983215332,63.79999923706055,4955500,2014-02-18,0,1
2014-02-19,63.61000061035156,64.26000213623047,63.18000030517578,63.27000045776367,3890900,2014-02-19,0,1
2014-02-20,63.38999938964844,64.0999984741211,63.040000915527344,63.560001373291016,3369300,2014-02-20,0,1
2014-02-21,63.70000076293945,64.1500015258789,63.41999816894531,63.41999816894531,2969900,2014-02-21,0,1
2014-02-24,63.619998931884766,64.88999938964844,63.619998931884766,64.31999969482422,3556100,2014-02-24,0,1
2014-02-25,64.33999633789062,64.91000366210938,64.05999755859375,64.55000305175781,3017700,2014-02-25,0,1
2014-02-26,64.75,65.80000305175781,64.58000183105469,65.2300033569336,4014800,2014-02-26,0,1
2014-02-27,65.22000122070312,65.73999786376953,64.95999908447266,65.25,3091900,2014-02-27,0,1
2014-02-28,65.37000274658203,65.91000366210938,64.94000244140625,65.26000213623047,3393000,2014-02-28,0,1
2014-03-03,64.80000305175781,64.80000305175781,63.95000076293945,64.3499984741211,2641200,2014-03-03,0,1
2014-03-04,65.44000244140625,65.58000183105469,64.79000091552734,65.12000274658203,3201200,2014-03-04,0,1
2014-03-05,65.12000274658203,65.30000305175781,64.95999908447266,65.05999755859375,2234700,2014-03-05,0,1
2014-03-06,65.11000061035156,65.45999908447266,65.0,65.05000305175781,2462500,2014-03-06,0,1
2014-03-07,65.3499984741211,65.87999725341797,65.30000305175781,65.5999984741211,3200700,2014-03-07,0,1
2014-03-10,65.7300033569336,65.7300033569336,64.7699966430664,64.93000030517578,3092500,2014-03-10,0,1
