,open,high,low,close,volume,date,dividend,split
2014-01-02,36.099998474121094,36.130001068115234,35.380001068115234,35.400001525878906,3545600,2014-01-02,0,1
2014-01-03,35.5,35.900001525878906,35.36000061035156,35.529998779296875,3445200,2014-01-03,0,1
2014-01-06,35.66999816894531,35.810001373291016,35.459999084472656,35.58000183105469,4294400,2014-01-06,0,1
2014-01-07,35.630001068115234,35.810001373291016,35.349998474121094,35.459999084472656,2911600,2014-01-07,0,1
2014-01-08,35.4900016784668,35.650001525878906,35.310001373291016,35.5099983215332,3191400,2014-01-08,0,1
2014-01-09,35.75,35.83000183105469,35.41999816894531,35.779998779296875,3238000,2014-01-09,0,1
2014-01-10,36.119998931884766,36.13999938964844,35.540000915527344,35.939998626708984,4780600,2014-01-10,0,1
2014-01-13,35.86000061035156,35.86000061035156,34.77000045776367,34.77000045776367,5090800,2014-01-13,0,1
2014-01-14,34.880001068115234,35.439998626708984,34.709999084472656,35.36000061035156,4147000,2014-01-14,0,1
2014-01-15,35.45000076293945,36.040000915527344,35.36000061035156,36.02000045776367,4008500,2014-01-15,0,1
2014-01-16,35.970001220703125,35.970001220703125,35.400001525878906,35.54999923706055,2264500,2014-01-16,0,1
2014-01-17,35.58000183105469,35.650001525878906,35.119998931884766,35.2599983215332,2685400,2014-01-17,0,1
2014-01-21,35.400001525878906,35.470001220703125,34.779998779296875,35.029998779296875,3401600,2014-01-21,0,1
2014-01-22,35.08000183105469,35.16999816894531,34.75,34.880001068115234,2684900,2014-01-22,0,1
2014-01-23,34.5,34.560001373291016,33.59000015258789,33.83000183105469,5495100,2014-01-23,0,1
2014-01-24,33.58000183105469,33.650001525878906,32.7599983215332,32.77000045776367,6251600,2014-01-24,0,1
2014-01-27,32.849998474121094,33.16999816894531,31.959999084472656,32.7400016784668,9681600,2014-01-27,0,1
2014-01-28,33.060001373291016,33.65999984741211,32.9900016784668,33.5099983215332,4687700,2014-01-28,0,1
2014-01-29,33.099998474121094,33.529998779296875,32.72999954223633,32.869998931884766,5272200,2014-01-29,0,1
2014-01-30,33.33000183105469,33.86000061035156,33.29999923706055,33.75,4473600,2014-01-30,0,1
2014-01-31,33.099998474121094,33.75,32.90999984741211,33.25,4566000,2014-01-31,0,1
2014-02-03,33.470001220703125,33.47999954223633,32.029998779296875,32.18000030517578,7770400,2014-02-03,0,1
2014-02-04,32.56999969482422,33.130001068115234,32.5099983215332,32.81999969482422,8368100,2014-02-04,0,1
2014-02-05,33.0,33.599998474121094,32.77000045776367,33.540000915527344,6833200,2014-02-05,0,1
2014-02-06,33.58000183105469,34.029998779296875,33.5099983215332,33.959999084472656,3971100,2014-02-06,0,1
2014-02-07,34.04999923706055,34.459999084472656,33.869998931884766,34.40999984741211,3380700,2014-02-07,0,1
2014-02-10,34.310001373291016,34.31999969482422,33.959999084472656,34.22999954223633,3677600,2014-02-10,0,1
2014-02-11,34.150001525878906,34.77000045776367,34.150001525878906,34.63999938964844,3992600,2014-02-11,0,1
2014-02-12,34.58000183105469,34.97999954223633,34.529998779296875,34.70000076293945,2905800,2014-02-12,0,1
2014-02-13,34.310001373291016,34.599998474121094,34.099998474121094,34.54999923706055,3736800,2014-02-13,0,1
2014-02-14,34.41999816894531,34.75,34.279998779296875,34.66999816894531,2151700,2014-02-14,0,1
2014-02-18,34.709999084472656,34.88999938964844,34.4900016784668,34.83000183105469,2127100,2014-02-18,0,1
2014-02-19,34.720001220703125,34.9900016784668,34.279998779296875,34.36000061035156,3608600,2014-02-19,0,1
2014-02-20,34.290000915527344,34.45000076293945,33.88999938964844,34.34000015258789,2791700,2014-02-20,0,1
2014-02-21,34.400001525878906,34.59000015258789,34.27000045776367,34.310001373291016,2078600,2014-02-21,0,1
2014-02-24,34.36000061035156,34.939998626708984,34.33000183105469,34.63999938964844,2715200,2014-02-24,0,1
2014-02-25,34.59000015258789,34.61000061035156,34.119998931884766,34.380001068115234,4271900,2014-02-25,0,1
2014-02-26,34.41999816894531,34.560001373291016,34.02000045776367,34.4900016784668,3303100,2014-02-26,0,1
2014-02-27,34.459999084472656,34.779998779296875,34.33000183105469,34.68000030517578,2302700,2014-02-27,0,1
2014-02-28,34.77000045776367,35.36000061035156,34.56999969482422,35.189998626708984,3572100,2014-02-28,0,1
2014-03-03,34.810001373291016,35.060001373291016,34.630001068115234,34.7599983215332,4375000,2014-03-03,0,1
2014-03-04,35.25,35.869998931884766,35.119998931884766,35.83000183105469,5278800,2014-03-04,0,1
2014-03-05,35.779998779296875,36.08000183105469,35.650001525878906,36.06999969482422,3683700,2014-03-05,0,1
2014-03-06,36.13999938964844,36.400001525878906,35.970001220703125,36.13999938964844,3169200,2014-03-06,0,1
2014-03-07,36.380001068115234,36.4900016784668,35.75,35.970001220703125,4525700,2014-03-07,0,1
2014-03-10,35.869998931884766,35.9900016784668,35.52000045776367,35.86000061035156,2298200,2014-03-10,0,1
2014-03-11,35.91999816894531,35.959999084472656,35.58000183105469,35.66999816894531,3166000,2014-03-11,0,1
2014-03-12,35.41999816894531,35.58000183105469,34.97999954223633,35.540000915527344,2981100,2014-03-12,0,1
2014-03-13,35.65999984741211,35.68000030517578,34.849998474121094,34.939998626708984,3002300,2014-03-13,0,1
2014-03-14,34.869998931884766,35.9900016784668,34.61000061035156,35.25,7306700,2014-03-14,0,1
2014-03-17,35.630001068115234,35.900001525878906,35.150001525878906,35.209999084472656,2525900,2014-03-17,0,1
2014-03-18,35.22999954223633,35.400001525878906,34.939998626708984,35.09000015258789,5213000,2014-03-18,0,1
2014-03-19,35.060001373291016,35.29999923706055,34.720001220703125,34.84000015258789,4353100,2014-03-19,0,1
2014-03-20,34.79999923706055,35.58000183105469,34.779998779296875,35.459999084472656,3704900,2014-03-20,0,1
2014-03-21,35.790000915527344,35.900001525878906,35.380001068115234,35.41999816894531,3986100,2014-03-21,0,1
2014-03-24,35.54999923706055,35.68000030517578,35.130001068115234,35.380001068115234,2388600,2014-03-24,0,1
2014-03-25,35.5099983215332,35.7400016784668,35.11000061035156,35.34000015258789,3321700,2014-03-25,0,1
2014-03-26,35.58000183105469,35.689998626708984,34.880001068115234,34.900001525878906,3070100,2014-03-26,0,1
2014-03-27,34.849998474121094,34.939998626708984,34.06999969482422,34.470001220703125,4668800,2014-03-27,0,1
2014-03-28,34.68000030517578,35.029998779296875,34.540000915527344,34.880001068115234,2476500,2014-03-28,0,1
2014-03-31,35.15999984741211,35.43000030517578,35.06999969482422,35.27000045776367,2174700,2014-03-31,0,1
2014-04-01,35.45000076293945,35.75,35.41999816894531,35.689998626708984,3045200,2014-04-01,0,1
2014-04-02,35.70000076293945,36.08000183105469,35.54999923706055,35.95000076293945,3121100,2014-04-02,0,1
2014-04-03,36.060001373291016,36.189998626708984,35.720001220703125,36.029998779296875,2555800,2014-04-03,0,1
2014-04-04,36.25,36.349998474121094,35.349998474121094,35.369998931884766,3626200,2014-04-04,0,1
2014-04-07,35.2400016784668,35.290000915527344,34.540000915527344,34.83000183105469,4529700,2014-04-07,0,1
2014-04-08,34.7599983215332,34.970001220703125,34.47999954223633,34.869998931884766,3495100,2014-04-08,0,1
2014-04-09,35.0,35.060001373291016,34.529998779296875,35.0,4394100,2014-04-09,0,1
2014-04-10,35.040000915527344,35.119998931884766,34.02000045776367,34.02000045776367,5613400,2014-04-10,0,1
2014-04-11,33.75,33.810001373291016,33.2599983215332,33.29999923706055,6500700,2014-04-11,0,1
2014-04-14,33.70000076293945,33.880001068115234,33.349998474121094,33.720001220703125,5711900,2014-04-14,0,1
2014-04-15,33.810001373291016,34.09000015258789,33.29999923706055,33.959999084472656,4603300,2014-04-15,0,1
2014-04-16,34.349998474121094,34.560001373291016,34.18000030517578,34.5,4238900,2014-04-16,0,1
2014-04-17,34.5,34.849998474121094,34.400001525878906,34.66999816894531,3012300,2014-04-17,0,1
2014-04-21,34.61000061035156,34.650001525878906,34.38999938964844,34.52000045776367,2648900,2014-04-21,0,1
2014-04-22,34.529998779296875,34.79999923706055,34.40999984741211,34.689998626708984,3017000,2014-04-22,0,1
2014-04-23,34.61000061035156,34.939998626708984,34.599998474121094,34.75,2213400,2014-04-23,0,1
2014-04-24,34.95000076293945,35.040000915527344,34.58000183105469,34.86000061035156,2836700,2014-04-24,0,1
2014-04-25,34.720001220703125,35.029998779296875,34.41999816894531,34.97999954223633,5665500,2014-04-25,0,1
2014-04-28,35.33000183105469,35.349998474121094,34.040000915527344,34.470001220703125,5953100,2014-04-28,0,1
2014-04-29,34.81999969482422,35.189998626708984,34.47999954223633,35.15999984741211,8303800,2014-04-29,0,1
2014-04-30,35.16999816894531,35.90999984741211,35.040000915527344,35.869998931884766,6739600,2014-04-30,0,1
2014-05-01,35.75,35.90999984741211,35.59000015258789,35.86000061035156,5785600,2014-05-01,0,1
2014-05-02,35.88999938964844,36.31999969482422,35.709999084472656,35.779998779296875,3220600,2014-05-02,0,1
2014-05-05,35.5,35.810001373291016,35.310001373291016,35.66999816894531,2380800,2014-05-05,0,1
2014-05-06,35.470001220703125,35.61000061035156,34.959999084472656,34.970001220703125,3970500,2014-05-06,0,1
2014-05-07,35.150001525878906,35.349998474121094,34.91999816894531,35.33000183105469,3614600,2014-05-07,0,1
2014-05-08,35.290000915527344,35.81999969482422,35.2599983215332,35.45000076293945,2681600,2014-05-08,0,1
2014-05-09,35.369998931884766,35.47999954223633,34.79999923706055,35.08000183105469,4125800,2014-05-09,0,1
2014-05-12,35.33000183105469,35.619998931884766,35.2400016784668,35.59000015258789,2479600,2014-05-12,0,1
2014-05-13,35.58000183105469,35.68000030517578,35.16999816894531,35.189998626708984,3350000,2014-05-13,0,1
2014-05-14,35.18000030517578,35.220001220703125,34.58000183105469,34.66999816894531,3402100,2014-05-14,0,1
2014-05-15,34.560001373291016,34.619998931884766,33.63999938964844,34.2400016784668,5143600,2014-05-15,0,1
2014-05-16,34.16999816894531,34.40999984741211,33.90999984741211,34.290000915527344,4248400,2014-05-16,0,1
2014-05-19,34.08000183105469,34.310001373291016,33.90999984741211,34.27000045776367,4150900,2014-05-19,0,1
2014-05-20,34.22999954223633,34.349998474121094,33.84000015258789,34.06999969482422,2727700,2014-05-20,0,1
2014-05-21,34.22999954223633,34.54999923706055,34.130001068115234,34.349998474121094,2617700,2014-05-21,0,1
2014-05-22,34.31999969482422,34.619998931884766,34.25,34.61000061035156,3422600,2014-05-22,0,1
2014-05-23,34.58000183105469,34.880001068115234,34.470001220703125,34.7400016784668,2344600,2014-05-23,0,1
2014-05-27,34.849998474121094,34.959999084472656,34.72999954223633,34.869998931884766,3194300,2014-05-27,0,1
2014-05-28,34.939998626708984,34.939998626708984,34.599998474121094,34.619998931884766,3336600,2014-05-28,0,1
2014-05-29,34.560001373291016,34.83000183105469,34.45000076293945,34.810001373291016,2334600,2014-05-29,0,1
2014-05-30,34.689998626708984,34.97999954223633,34.54999923706055,34.650001525878906,2462700,2014-05-30,0,1
2014-06-02,34.810001373291016,35.09000015258789,34.689998626708984,34.88999938964844,2599300,2014-06-02,0,1
2014-06-03,34.869998931884766,35.400001525878906,34.7400016784668,35.38999938964844,3301400,2014-06-03,0,1
2014-06-04,35.31999969482422,35.86000061035156,35.2599983215332,35.689998626708984,2952900,2014-06-04,0,1
2014-06-05,35.79999923706055,35.959999084472656,35.45000076293945,35.900001525878906,3060400,2014-06-05,0,1
2014-06-06,35.95000076293945,36.27000045776367,35.88999938964844,36.22999954223633,2218400,2014-06-06,0,1
2014-06-09,36.150001525878906,36.33000183105469,36.06999969482422,36.15999984741211,2201300,2014-06-09,0,1
2014-06-10,35.97999954223633,36.380001068115234,35.90999984741211,36.369998931884766,2682800,2014-06-10,0,1
2014-06-11,36.16999816894531,36.33000183105469,35.97999954223633,36.16999816894531,1740200,2014-06-11,0,1
2014-06-12,36.060001373291016,36.27000045776367,35.720001220703125,35.81999969482422,1707300,2014-06-12,0,1
2014-06-13,35.66999816894531,35.970001220703125,35.59000015258789,35.72999954223633,2009200,2014-06-13,0,1
2014-06-16,35.63999938964844,35.68000030517578,35.41999816894531,35.63999938964844,1504000,2014-06-16,0,1
2014-06-17,35.459999084472656,35.9900016784668,35.40999984741211,35.959999084472656,2197300,2014-06-17,0,1
2014-06-18,35.86000061035156,36.040000915527344,35.56999969482422,35.9900016784668,2893600,2014-06-18,0,1
2014-06-19,36.060001373291016,36.08000183105469,35.77000045776367,36.02000045776367,1424200,2014-06-19,0,1
2014-06-20,36.150001525878906,36.16999816894531,35.939998626708984,36.02000045776367,2512500,2014-06-20,0,1
2014-06-23,35.95000076293945,36.06999969482422,35.709999084472656,36.040000915527344,1994900,2014-06-23,0,1
2014-06-24,35.880001068115234,36.27000045776367,35.75,35.779998779296875,1639700,2014-06-24,0,1
2014-06-25,35.630001068115234,36.060001373291016,35.58000183105469,35.93000030517578,1705600,2014-06-25,0,1
2014-06-26,35.880001068115234,35.97999954223633,35.38999938964844,35.83000183105469,1601700,2014-06-26,0,1
2014-06-27,35.7400016784668,35.900001525878906,35.5,35.65999984741211,2162000,2014-06-27,0,1
2014-06-30,35.68000030517578,35.959999084472656,35.54999923706055,35.810001373291016,1667100,2014-06-30,0,1
