,open,high,low,close,volume,date,dividend,split
2014-01-02,12.661216735839844,12.815622329711914,12.465940475463867,12.561307907104492,28688096,2014-01-02,0,1
2014-01-03,12.584014892578125,12.942778587341309,12.579472541809082,12.870118141174316,27911011,2014-01-03,0,1
2014-01-06,12.85195255279541,12.942778587341309,12.670299530029297,12.847411155700684,22550682,2014-01-06,0,1
2014-01-07,12.910989761352539,12.965485572814941,12.656676292419434,12.797456741333008,31535723,2014-01-07,0,1
2014-01-08,12.797456741333008,12.806539535522461,12.425067901611328,12.465940475463867,33498586,2014-01-08,0,1
2014-01-09,12.52043628692627,12.661216735839844,12.420527458190918,12.53860092163086,39702500,2014-01-09,0,1
2014-01-10,12.593096733093262,12.611262321472168,12.384196281433105,12.579472541809082,31545412,2014-01-10,0,1
2014-01-13,12.584014892578125,13.074478149414062,12.579472541809082,12.770209312438965,43408907,2014-01-13,0,1
2014-01-14,12.770209312438965,13.101725578308105,12.756585121154785,13.101725578308105,32705425,2014-01-14,0,1
2014-01-15,13.124431610107422,13.201635360717773,12.960945129394531,13.097184181213379,36064136,2014-01-15,0,1
2014-01-16,13.39691162109375,13.542234420776367,13.224342346191406,13.42416000366211,48586249,2014-01-16,0,1
2014-01-17,13.510444641113281,13.646684646606445,13.474114418029785,13.533151626586914,35356193,2014-01-17,0,1
2014-01-21,13.533151626586914,13.605813026428223,13.374204635620117,13.578564643859863,26614473,2014-01-21,0,1
2014-01-22,13.455948829650879,13.683014869689941,13.37874698638916,13.55131721496582,22542975,2014-01-22,0,1
2014-01-23,13.360581398010254,13.501361846923828,13.197093963623047,13.337875366210938,21811471,2014-01-23,0,1
2014-01-24,13.188011169433594,13.260671615600586,12.89282512664795,12.938238143920898,37470553,2014-01-24,0,1
2014-01-27,12.956402778625488,13.210718154907227,12.888282775878906,12.988192558288574,35066410,2014-01-27,0,1
2014-01-28,12.974569320678711,13.206175804138184,12.938238143920898,13.169845581054688,27320214,2014-01-28,0,1
2014-01-29,13.133515357971191,13.237964630126953,13.05631160736084,13.17892837524414,30642371,2014-01-29,0,1
2014-01-30,13.237964630126953,13.360581398010254,13.206175804138184,13.283378601074219,20028731,2014-01-30,0,1
2014-01-31,13.142598152160645,13.256131172180176,13.05177116394043,13.169845581054688,28481329,2014-01-31,0,1
2014-02-03,13.197093963623047,13.301544189453125,12.697547912597656,12.733878135681152,32271191,2014-02-03,0,1
2014-02-04,12.779292106628418,12.901906967163086,12.66575813293457,12.86557674407959,21098023,2014-02-04,0,1
2014-02-05,12.792916297912598,12.915531158447266,12.670299530029297,12.720253944396973,22632156,2014-02-05,0,1
2014-02-06,12.820162773132324,13.015440940856934,12.806539535522461,12.938238143920898,14739527,2014-02-06,0,1
2014-02-07,13.033605575561523,13.242506980895996,13.029064178466797,13.201635360717773,16597135,2014-02-07,0,1
2014-02-10,13.174386978149414,13.274295806884766,13.00635814666748,13.0835599899292,17205767,2014-02-10,0,1
2014-02-11,13.115349769592285,13.39237117767334,13.079018592834473,13.333333015441895,18967147,2014-02-11,0,1
2014-02-12,13.333333015441895,13.528610229492188,13.333333015441895,13.360581398010254,21415551,2014-02-12,0,1
2014-02-13,13.310626983642578,13.587648391723633,13.251588821411133,13.546775817871094,20902705,2014-02-13,0,1
2014-02-14,13.560400009155273,13.678474426269531,13.496821403503418,13.633061408996582,20949828,2014-02-14,0,1
2014-02-18,13.623977661132812,13.646684646606445,13.428701400756836,13.433242797851562,24774262,2014-02-18,0,1
2014-02-19,13.36512279510498,13.51952838897705,13.287919998168945,13.374204635620117,32786018,2014-02-19,0,1
2014-02-20,13.315168380737305,13.751134872436523,13.215258598327637,13.7102632522583,58859680,2014-02-20,0,1
2014-02-21,13.905540466308594,13.946412086486816,13.39691162109375,13.528610229492188,65633693,2014-02-21,0,1
2014-02-24,13.469573020935059,13.701181411743164,13.374204635620117,13.587648391723633,31748436,2014-02-24,0,1
2014-02-25,13.542234420776367,13.623977661132812,13.428701400756836,13.56948184967041,20270291,2014-02-25,0,1
2014-02-26,13.58310604095459,13.714804649353027,13.53769302368164,13.578564643859863,19833414,2014-02-26,0,1
2014-02-27,13.496821403503418,13.574024200439453,13.455948829650879,13.510444641113281,24490644,2014-02-27,0,1
2014-02-28,13.55131721496582,13.787466049194336,13.465031623840332,13.56948184967041,28953658,2014-02-28,0,1
2014-03-03,13.287919998168945,13.55585765838623,13.088102340698242,13.501361846923828,27428112,2014-03-03,0,1
2014-03-04,13.592188835144043,13.732970237731934,13.560400009155273,13.678474426269531,29367413,2014-03-04,0,1
2014-03-05,13.678474426269531,13.692097663879395,13.55585765838623,13.59673023223877,14328854,2014-03-05,0,1
2014-03-06,13.619437217712402,13.714804649353027,13.55585765838623,13.664850234985352,15711710,2014-03-06,0,1
2014-03-07,13.737510681152344,13.841961860656738,13.642144203186035,13.778383255004883,20446451,2014-03-07,0,1
2014-03-10,13.646684646606445,13.742053031921387,13.55585765838623,13.578564643859863,16356016,2014-03-10,0,1
2014-03-11,13.623977661132812,13.742053031921387,13.524068832397461,13.58310604095459,15575186,2014-03-11,0,1
2014-03-12,13.53769302368164,13.55131721496582,13.356040000915527,13.437784194946289,16304269,2014-03-12,0,1
2014-03-13,13.460490226745605,13.55585765838623,13.05631160736084,13.128973960876465,29097448,2014-03-13,0,1
2014-03-14,13.110808372497559,13.342415809631348,13.092642784118652,13.201635360717773,17873634,2014-03-14,0,1
2014-03-17,13.283378601074219,13.483197212219238,13.274295806884766,13.387828826904297,15577168,2014-03-17,0,1
2014-03-18,13.637601852416992,13.91008186340332,13.578564643859863,13.878292083740234,42182613,2014-03-18,0,1
2014-03-19,13.89645767211914,14.414169311523438,13.882834434509277,14.359672546386719,51013294,2014-03-19,0,1
2014-03-20,14.305176734924316,14.718438148498535,14.287012100219727,14.296093940734863,52667216,2014-03-20,0,1
2014-03-21,14.45504093170166,14.62761116027832,14.373296737670898,14.509536743164062,52127065,2014-03-21,0,1
2014-03-24,14.541325569152832,14.62761116027832,14.350589752197266,14.364213943481445,29350018,2014-03-24,0,1
2014-03-25,14.450499534606934,14.786558151245117,14.418709754943848,14.786558151245117,37940460,2014-03-25,0,1
2014-03-26,14.881925582885742,15.040871620178223,14.682106971740723,14.691189765930176,37957415,2014-03-26,0,1
2014-03-27,14.604905128479004,14.663942337036133,14.373296737670898,14.50045394897461,27248429,2014-03-27,0,1
2014-03-28,14.618529319763184,14.782015800476074,14.504995346069336,14.550409317016602,24492185,2014-03-28,0,1
2014-03-31,14.663942337036133,14.800182342529297,14.645776748657227,14.695731163024902,19385307,2014-03-31,0,1
2014-04-01,14.668482780456543,15.190735816955566,14.663942337036133,15.090826988220215,36240296,2014-04-01,0,1
2014-04-02,15.14078140258789,15.286104202270508,14.990917205810547,15.263397216796875,31245279,2014-04-02,0,1
2014-04-03,15.267937660217285,15.277021408081055,14.913715362548828,14.98637580871582,34094227,2014-04-03,0,1
2014-04-04,15.090826988220215,15.204360008239746,14.718438148498535,14.822888374328613,30085486,2014-04-04,0,1
2014-04-07,14.940962791442871,15.03178882598877,14.763851165771484,14.850135803222656,26866602,2014-04-07,0,1
2014-04-08,14.845595359802246,14.886466979980469,14.504995346069336,14.736602783203125,29947640,2014-04-08,0,1
2014-04-09,14.822888374328613,14.931879997253418,14.659400939941406,14.85921859741211,27717235,2014-04-09,0,1
2014-04-10,15.122615814208984,15.395094871520996,14.891008377075195,14.895549774169922,56410396,2014-04-10,0,1
