,open,high,low,close,volume,date,dividend,split
2014-01-02,13.430000305175781,13.4399995803833,13.260000228881836,13.289999961853027,6353900,2014-01-02,0,1
2014-01-03,13.319999694824219,13.4399995803833,13.260000228881836,13.319999694824219,5570800,2014-01-03,0,1
2014-01-06,13.399999618530273,13.619999885559082,13.399999618530273,13.4399995803833,12965900,2014-01-06,0,1
2014-01-07,13.539999961853027,13.670000076293945,13.449999809265137,13.539999961853027,11581100,2014-01-07,0,1
2014-01-08,13.489999771118164,13.680000305175781,13.40999984741211,13.630000114440918,12565700,2014-01-08,0,1
2014-01-09,13.640000343322754,13.84000015258789,13.640000343322754,13.760000228881836,16899600,2014-01-09,0,1
2014-01-10,13.739999771118164,13.75,13.529999732971191,13.630000114440918,9479500,2014-01-10,0,1
2014-01-13,13.640000343322754,13.649999618530273,13.40999984741211,13.470000267028809,6563800,2014-01-13,0,1
2014-01-14,13.5600004196167,13.649999618530273,13.510000228881836,13.569999694824219,11503900,2014-01-14,0,1
2014-01-15,13.630000114440918,13.75,13.609999656677246,13.680000305175781,7548500,2014-01-15,0,1
2014-01-16,13.680000305175781,13.6899995803833,13.470000267028809,13.529999732971191,7824800,2014-01-16,0,1
2014-01-17,13.5600004196167,13.729999542236328,13.520000457763672,13.539999961853027,7584700,2014-01-17,0,1
2014-01-21,13.680000305175781,14.010000228881836,13.65999984741211,14.010000228881836,16871000,2014-01-21,0,1
2014-01-22,14.0600004196167,14.140000343322754,13.90999984741211,14.140000343322754,13922600,2014-01-22,0,1
2014-01-23,13.850000381469727,14.0,13.390000343322754,13.680000305175781,25810600,2014-01-23,0,1
2014-01-24,13.609999656677246,13.609999656677246,12.899999618530273,12.930000305175781,29808300,2014-01-24,0,1
2014-01-27,12.979999542236328,13.100000381469727,12.760000228881836,12.859999656677246,18336900,2014-01-27,0,1
2014-01-28,12.850000381469727,13.029999732971191,12.8100004196167,12.960000038146973,13179200,2014-01-28,0,1
2014-01-29,12.850000381469727,13.020000457763672,12.789999961853027,12.869999885559082,13728100,2014-01-29,0,1
2014-01-30,12.970000267028809,13.0,12.729999542236328,12.970000267028809,11891500,2014-01-30,0,1
2014-01-31,12.75,12.899999618530273,12.710000038146973,12.760000228881836,11633200,2014-01-31,0,1
2014-02-03,12.75,12.779999732971191,12.279999732971191,12.3100004196167,12920300,2014-02-03,0,1
2014-02-04,12.390000343322754,12.569999694824219,12.25,12.479999542236328,9689600,2014-02-04,0,1
2014-02-05,12.399999618530273,12.470000267028809,12.279999732971191,12.380000114440918,13708300,2014-02-05,0,1
2014-02-06,12.40999984741211,12.65999984741211,12.40999984741211,12.649999618530273,7244400,2014-02-06,0,1
2014-02-07,12.720000267028809,12.869999885559082,12.619999885559082,12.739999771118164,9321200,2014-02-07,0,1
2014-02-10,12.760000228881836,12.8100004196167,12.5600004196167,12.670000076293945,8234000,2014-02-10,0,1
2014-02-11,12.6899995803833,12.84000015258789,12.5600004196167,12.8100004196167,11112100,2014-02-11,0,1
2014-02-12,12.800000190734863,13.180000305175781,12.800000190734863,12.90999984741211,9327600,2014-02-12,0,1
2014-02-13,12.779999732971191,12.899999618530273,12.65999984741211,12.880000114440918,8505300,2014-02-13,0,1
2014-02-14,12.890000343322754,13.039999961853027,12.859999656677246,12.920000076293945,8688300,2014-02-14,0,1
2014-02-18,12.949999809265137,12.989999771118164,12.789999961853027,12.920000076293945,9199900,2014-02-18,0,1
2014-02-19,12.84000015258789,12.880000114440918,12.600000381469727,12.640000343322754,11036700,2014-02-19,0,1
2014-02-20,12.640000343322754,12.789999961853027,12.510000228881836,12.760000228881836,9387900,2014-02-20,0,1
2014-02-21,12.770000457763672,12.930000305175781,12.770000457763672,12.850000381469727,7328400,2014-02-21,0,1
2014-02-24,12.869999885559082,13.100000381469727,12.84000015258789,12.970000267028809,8096100,2014-02-24,0,1
2014-02-25,12.979999542236328,12.979999542236328,12.850000381469727,12.899999618530273,9095300,2014-02-25,0,1
2014-02-26,12.949999809265137,13.050000190734863,12.899999618530273,13.010000228881836,8020900,2014-02-26,0,1
2014-02-27,12.989999771118164,13.069999694824219,12.9399995803833,13.010000228881836,7004300,2014-02-27,0,1
2014-02-28,12.970000267028809,13.220000267028809,12.949999809265137,13.170000076293945,10416500,2014-02-28,0,1
2014-03-03,13.0600004196167,13.109999656677246,12.930000305175781,13.039999961853027,10157700,2014-03-03,0,1
2014-03-04,13.1899995803833,13.430000305175781,13.170000076293945,13.40999984741211,8153000,2014-03-04,0,1
2014-03-05,13.399999618530273,13.420000076293945,13.3100004196167,13.359999656677246,8694600,2014-03-05,0,1
2014-03-06,13.40999984741211,13.65999984741211,13.34000015258789,13.640000343322754,14969700,2014-03-06,0,1
2014-03-07,13.779999732971191,14.039999961853027,13.760000228881836,13.899999618530273,17784900,2014-03-07,0,1
2014-03-10,13.880000114440918,14.010000228881836,13.8100004196167,13.979999542236328,14354800,2014-03-10,0,1
2014-03-11,13.979999542236328,14.010000228881836,13.739999771118164,13.779999732971191,13018600,2014-03-11,0,1
2014-03-12,13.720000267028809,13.789999961853027,13.630000114440918,13.770000457763672,8601500,2014-03-12,0,1
2014-03-13,13.8100004196167,13.920000076293945,13.699999809265137,13.739999771118164,12366700,2014-03-13,0,1
2014-03-14,13.710000038146973,13.920000076293945,13.6899995803833,13.789999961853027,12983100,2014-03-14,0,1
2014-03-17,13.850000381469727,13.979999542236328,13.8100004196167,13.949999809265137,9095500,2014-03-17,0,1
2014-03-18,13.960000038146973,14.039999961853027,13.890000343322754,13.970000267028809,9411600,2014-03-18,0,1
2014-03-19,14.0,14.300000190734863,13.960000038146973,14.199999809265137,18783600,2014-03-19,0,1
2014-03-20,14.130000114440918,14.579999923706055,14.130000114440918,14.430000305175781,21757800,2014-03-20,0,1
2014-03-21,14.569999694824219,14.699999809265137,14.34000015258789,14.359999656677246,18388700,2014-03-21,0,1
2014-03-24,14.460000038146973,14.579999923706055,14.170000076293945,14.260000228881836,11701700,2014-03-24,0,1
2014-03-25,14.3100004196167,14.430000305175781,14.199999809265137,14.399999618530273,10055400,2014-03-25,0,1
2014-03-26,14.460000038146973,14.5,14.199999809265137,14.210000038146973,18218400,2014-03-26,0,1
2014-03-27,14.289999961853027,14.40999984741211,13.930000305175781,13.979999542236328,13122500,2014-03-27,0,1
2014-03-28,14.039999961853027,14.260000228881836,13.9399995803833,14.140000343322754,8081700,2014-03-28,0,1
2014-03-31,14.210000038146973,14.369999885559082,14.210000038146973,14.239999771118164,9541200,2014-03-31,0,1
2014-04-01,14.319999694824219,14.40999984741211,14.25,14.369999885559082,8621700,2014-04-01,0,1
2014-04-02,14.40999984741211,14.420000076293945,14.239999771118164,14.34000015258789,9774500,2014-04-02,0,1
