,open,high,low,close,volume,date,dividend,split
2014-01-02,93.6500015258789,93.6500015258789,92.38999938964844,92.75,216100,2014-01-02,0,1
2014-01-03,93.58999633789062,93.7300033569336,92.51000213623047,92.8499984741211,230400,2014-01-03,0,1
2014-01-06,93.3499984741211,93.44999694824219,92.69000244140625,92.91999816894531,275300,2014-01-06,0,1
2014-01-07,93.06999969482422,94.3499984741211,92.87999725341797,94.12000274658203,235500,2014-01-07,0,1
2014-01-08,94.12000274658203,95.44999694824219,94.12000274658203,94.6500015258789,238600,2014-01-08,0,1
2014-01-09,94.75,97.0,94.58999633789062,97.0,350100,2014-01-09,0,1
2014-01-10,96.87000274658203,97.48999786376953,96.19000244140625,97.08999633789062,434000,2014-01-10,0,1
2014-01-13,96.83999633789062,97.0999984741211,96.16999816894531,96.37000274658203,195700,2014-01-13,0,1
2014-01-14,96.55999755859375,96.94999694824219,95.86000061035156,96.87999725341797,217500,2014-01-14,0,1
2014-01-15,96.91000366210938,97.25,96.08000183105469,96.80000305175781,235600,2014-01-15,0,1
2014-01-16,96.5,97.30000305175781,96.27999877929688,97.0,185100,2014-01-16,0,1
2014-01-17,96.94999694824219,97.41999816894531,96.33000183105469,96.44999694824219,115500,2014-01-17,0,1
2014-01-21,96.77999877929688,96.83999633789062,95.38999938964844,96.62999725341797,219000,2014-01-21,0,1
2014-01-22,96.80000305175781,96.83999633789062,96.30999755859375,96.63999938964844,279300,2014-01-22,0,1
2014-01-23,96.2300033569336,96.73999786376953,95.72000122070312,96.45999908447266,154600,2014-01-23,0,1
2014-01-24,96.08999633789062,96.08999633789062,93.12000274658203,94.37000274658203,382000,2014-01-24,0,1
2014-01-27,94.36000061035156,94.5,93.08999633789062,93.08999633789062,214200,2014-01-27,0,1
2014-01-28,93.31999969482422,94.13999938964844,93.23999786376953,93.5999984741211,158100,2014-01-28,0,1
2014-01-29,92.83999633789062,93.7699966430664,92.5,93.5,200600,2014-01-29,0,1
2014-01-30,93.88999938964844,94.6500015258789,93.11000061035156,94.30999755859375,202500,2014-01-30,0,1
2014-01-31,93.83999633789062,93.98999786376953,92.98999786376953,93.63999938964844,224700,2014-01-31,0,1
2014-02-03,93.63999938964844,93.94999694824219,90.1500015258789,90.94000244140625,447400,2014-02-03,0,1
2014-02-04,91.2300033569336,91.79000091552734,90.4800033569336,91.18000030517578,366200,2014-02-04,0,1
2014-02-05,91.0199966430664,93.01000213623047,90.75,91.8499984741211,282600,2014-02-05,0,1
2014-02-06,92.06999969482422,92.83000183105469,91.33000183105469,91.4800033569336,226100,2014-02-06,0,1
2014-02-07,91.75,92.80000305175781,91.48999786376953,92.7699966430664,146200,2014-02-07,0,1
2014-02-10,92.5999984741211,93.23999786376953,92.23999786376953,92.63999938964844,279000,2014-02-10,0,1
2014-02-11,92.86000061035156,94.11000061035156,92.16000366210938,94.0999984741211,303000,2014-02-11,0,1
2014-02-12,94.0999984741211,94.69999694824219,93.68000030517578,94.62999725341797,321600,2014-02-12,0,1
2014-02-13,94.33999633789062,96.55000305175781,93.87999725341797,96.41000366210938,253600,2014-02-13,0,1
2014-02-14,96.44000244140625,97.11000061035156,95.95999908447266,96.12000274658203,228500,2014-02-14,0,1
2014-02-18,96.2699966430664,97.62999725341797,95.6500015258789,97.13999938964844,248200,2014-02-18,0,1
2014-02-19,96.8499984741211,97.83999633789062,96.4800033569336,96.61000061035156,199300,2014-02-19,0,1
2014-02-20,96.69000244140625,97.81999969482422,96.04000091552734,97.66999816894531,293000,2014-02-20,0,1
2014-02-21,100.83000183105469,103.51000213623047,97.66999816894531,101.19000244140625,991800,2014-02-21,0,1
2014-02-24,101.47000122070312,102.51000213623047,100.48999786376953,100.56999969482422,562500,2014-02-24,0,1
2014-02-25,100.87000274658203,102.4800033569336,100.20999908447266,102.12999725341797,521300,2014-02-25,0,1
2014-02-26,102.16000366210938,102.80999755859375,100.87999725341797,101.12000274658203,316300,2014-02-26,0,1
2014-02-27,101.12000274658203,102.08000183105469,100.36000061035156,101.95999908447266,206200,2014-02-27,0,1
2014-02-28,101.55000305175781,102.91999816894531,101.01000213623047,101.98999786376953,170900,2014-02-28,0,1
2014-03-03,101.19000244140625,101.94000244140625,100.19000244140625,100.44000244140625,425700,2014-03-03,0,1
2014-03-04,101.05999755859375,101.58000183105469,100.5,100.83000183105469,624500,2014-03-04,0,1
2014-03-05,100.83000183105469,102.12000274658203,100.29000091552734,101.31999969482422,507700,2014-03-05,0,1
2014-03-06,101.06999969482422,102.95999908447266,101.06999969482422,102.38999938964844,273100,2014-03-06,0,1
2014-03-07,102.80000305175781,103.33000183105469,101.88999938964844,102.88999938964844,202400,2014-03-07,0,1
2014-03-10,102.88999938964844,103.80000305175781,102.0999984741211,102.20999908447266,212900,2014-03-10,0,1
2014-03-11,102.01000213623047,103.54000091552734,101.7300033569336,102.05000305175781,443200,2014-03-11,0,1
2014-03-12,101.72000122070312,102.83999633789062,101.29000091552734,102.81999969482422,300400,2014-03-12,0,1
2014-03-13,103.0,103.69000244140625,102.08000183105469,102.30999755859375,265600,2014-03-13,0,1
2014-03-14,102.18000030517578,103.33999633789062,102.13999938964844,102.94000244140625,162500,2014-03-14,0,1
2014-03-17,103.37999725341797,104.33000183105469,103.37000274658203,103.9000015258789,153200,2014-03-17,0,1
2014-03-18,104.23999786376953,104.45999908447266,103.83000183105469,104.0199966430664,306000,2014-03-18,0,1
2014-03-19,104.93000030517578,105.16999816894531,103.94999694824219,104.4800033569336,252800,2014-03-19,0,1
2014-03-20,104.41000366210938,104.45999908447266,103.5999984741211,103.9800033569336,562600,2014-03-20,0,1
2014-03-21,104.66999816894531,106.22000122070312,104.13999938964844,105.31999969482422,745000,2014-03-21,0,1
2014-03-24,106.06999969482422,106.20999908447266,104.43000030517578,105.48999786376953,421800,2014-03-24,0,1
2014-03-25,105.66000366210938,106.58999633789062,105.04000091552734,105.4000015258789,506000,2014-03-25,0,1
2014-03-26,105.79000091552734,106.69999694824219,105.55000305175781,106.0999984741211,343800,2014-03-26,0,1
2014-03-27,106.37000274658203,106.37000274658203,104.18000030517578,105.18000030517578,437300,2014-03-27,0,1
2014-03-28,105.31999969482422,106.3499984741211,104.69999694824219,105.66000366210938,246100,2014-03-28,0,1
2014-03-31,106.12000274658203,107.43000030517578,105.69000244140625,107.23999786376953,270200,2014-03-31,0,1
2014-04-01,107.44999694824219,108.0,106.38999938964844,107.47000122070312,458000,2014-04-01,0,1
2014-04-02,107.48999786376953,108.97000122070312,107.06999969482422,108.4000015258789,401000,2014-04-02,0,1
2014-04-03,108.58999633789062,108.98999786376953,107.55000305175781,108.69000244140625,334100,2014-04-03,0,1
2014-04-04,109.5199966430664,109.7300033569336,106.51000213623047,106.66000366210938,262200,2014-04-04,0,1
2014-04-07,106.16000366210938,106.69000244140625,104.91999816894531,105.47000122070312,309500,2014-04-07,0,1
2014-04-08,105.27999877929688,105.56999969482422,104.05000305175781,104.93000030517578,236500,2014-04-08,0,1
2014-04-09,105.08000183105469,105.73999786376953,104.47000122070312,105.23999786376953,216000,2014-04-09,0,1
2014-04-10,104.88999938964844,105.12000274658203,102.12999725341797,102.41000366210938,364200,2014-04-10,0,1
2014-04-11,102.05000305175781,102.97000122070312,101.79000091552734,102.05000305175781,249100,2014-04-11,0,1
2014-04-14,102.13999938964844,103.13999938964844,101.62999725341797,102.4000015258789,199700,2014-04-14,0,1
2014-04-15,102.41999816894531,103.08999633789062,101.02999877929688,102.4000015258789,348800,2014-04-15,0,1
2014-04-16,103.41000366210938,103.44000244140625,102.05000305175781,102.18000030517578,193100,2014-04-16,0,1
2014-04-17,102.06999969482422,102.61000061035156,101.5199966430664,101.83999633789062,284700,2014-04-17,0,1
