,open,high,low,close,volume,date,dividend,split
2014-01-02,53.150001525878906,53.689998626708984,53.08000183105469,53.540000915527344,2575100,2014-01-02,0,1
2014-01-03,53.279998779296875,53.380001068115234,52.900001525878906,53.04999923706055,2160600,2014-01-03,0,1
2014-01-06,53.290000915527344,54.79999923706055,53.13999938964844,54.290000915527344,3218400,2014-01-06,0,1
2014-01-07,54.41999816894531,54.63999938964844,53.849998474121094,54.2599983215332,2185700,2014-01-07,0,1
2014-01-08,54.189998626708984,54.31999969482422,53.70000076293945,53.900001525878906,1648100,2014-01-08,0,1
2014-01-09,54.06999969482422,54.220001220703125,53.5,54.02000045776367,1558300,2014-01-09,0,1
2014-01-10,54.310001373291016,55.5099983215332,54.29999923706055,55.47999954223633,2889400,2014-01-10,0,1
2014-01-13,55.36000061035156,56.15999984741211,55.18000030517578,55.95000076293945,4426300,2014-01-13,0,1
2014-01-14,55.91999816894531,55.95000076293945,54.959999084472656,55.13999938964844,3374200,2014-01-14,0,1
2014-01-15,55.2599983215332,55.869998931884766,55.25,55.54999923706055,2596200,2014-01-15,0,1
2014-01-16,55.79999923706055,56.16999816894531,55.650001525878906,56.060001373291016,2183400,2014-01-16,0,1
2014-01-17,56.20000076293945,56.2400016784668,55.54999923706055,55.59000015258789,2001300,2014-01-17,0,1
2014-01-21,55.959999084472656,56.470001220703125,55.869998931884766,56.439998626708984,2055000,2014-01-21,0,1
2014-01-22,56.43000030517578,56.790000915527344,56.290000915527344,56.540000915527344,1541600,2014-01-22,0,1
2014-01-23,56.599998474121094,56.619998931884766,55.95000076293945,56.029998779296875,2188600,2014-01-23,0,1
2014-01-24,56.0099983215332,56.209999084472656,55.66999816894531,55.91999816894531,2931600,2014-01-24,0,1
2014-01-27,55.939998626708984,56.63999938964844,55.91999816894531,56.25,2531800,2014-01-27,0,1
2014-01-28,56.40999984741211,57.099998474121094,56.31999969482422,56.790000915527344,1828500,2014-01-28,0,1
2014-01-29,56.5099983215332,56.7599983215332,56.20000076293945,56.689998626708984,2141300,2014-01-29,0,1
2014-01-30,56.91999816894531,57.529998779296875,56.79999923706055,57.04999923706055,1775300,2014-01-30,0,1
2014-01-31,56.79999923706055,58.11000061035156,56.43000030517578,57.91999816894531,2915000,2014-01-31,0,1
2014-02-03,57.81999969482422,57.900001525878906,57.310001373291016,57.4900016784668,2274500,2014-02-03,0,1
2014-02-04,57.45000076293945,57.790000915527344,57.15999984741211,57.630001068115234,2312400,2014-02-04,0,1
2014-02-05,57.52000045776367,57.72999954223633,56.5,56.90999984741211,2106100,2014-02-05,0,1
2014-02-06,56.0,56.540000915527344,55.869998931884766,56.279998779296875,2066600,2014-02-06,0,1
2014-02-07,56.41999816894531,56.959999084472656,56.209999084472656,56.88999938964844,1628200,2014-02-07,0,1
2014-02-10,56.7599983215332,57.2400016784668,56.40999984741211,57.09000015258789,1761100,2014-02-10,0,1
2014-02-11,57.13999938964844,57.599998474121094,56.79999923706055,57.13999938964844,1703900,2014-02-11,0,1
2014-02-12,57.099998474121094,57.279998779296875,56.619998931884766,56.83000183105469,1258100,2014-02-12,0,1
2014-02-13,56.68000030517578,57.41999816894531,56.54999923706055,56.9900016784668,1458800,2014-02-13,0,1
2014-02-14,57.040000915527344,57.25,56.58000183105469,56.86000061035156,1495200,2014-02-14,0,1
2014-02-18,56.810001373291016,57.060001373291016,56.310001373291016,56.959999084472656,1477000,2014-02-18,0,1
2014-02-19,56.95000076293945,57.959999084472656,56.79999923706055,57.33000183105469,1905600,2014-02-19,0,1
2014-02-20,57.40999984741211,57.95000076293945,56.310001373291016,56.58000183105469,1846600,2014-02-20,0,1
2014-02-21,56.47999954223633,56.97999954223633,56.0099983215332,56.779998779296875,2522200,2014-02-21,0,1
2014-02-24,56.790000915527344,58.52000045776367,56.790000915527344,58.029998779296875,1972600,2014-02-24,0,1
2014-02-25,58.06999969482422,58.130001068115234,57.43000030517578,57.65999984741211,1579300,2014-02-25,0,1
2014-02-26,57.83000183105469,58.029998779296875,57.400001525878906,57.90999984741211,1310000,2014-02-26,0,1
2014-02-27,57.9900016784668,58.400001525878906,57.77000045776367,58.130001068115234,1038100,2014-02-27,0,1
2014-02-28,58.18000030517578,59.08000183105469,58.06999969482422,58.7400016784668,2273800,2014-02-28,0,1
2014-03-03,58.470001220703125,58.91999816894531,58.16999816894531,58.86000061035156,1459300,2014-03-03,0,1
2014-03-04,59.25,59.810001373291016,59.13999938964844,59.61000061035156,1509300,2014-03-04,0,1
2014-03-05,59.54999923706055,59.93000030517578,59.27000045776367,59.869998931884766,1225500,2014-03-05,0,1
2014-03-06,59.86000061035156,59.869998931884766,58.939998626708984,59.04999923706055,1583000,2014-03-06,0,1
2014-03-07,58.93000030517578,58.970001220703125,57.54999923706055,58.290000915527344,2009600,2014-03-07,0,1
2014-03-10,58.25,58.45000076293945,57.68000030517578,58.09000015258789,1979700,2014-03-10,0,1
2014-03-11,58.11000061035156,59.04999923706055,58.040000915527344,58.86000061035156,2216200,2014-03-11,0,1
2014-03-12,58.81999969482422,59.650001525878906,58.81999969482422,59.310001373291016,2332600,2014-03-12,0,1
2014-03-13,59.38999938964844,59.38999938964844,58.54999923706055,58.63999938964844,1766900,2014-03-13,0,1
2014-03-14,58.630001068115234,59.43000030517578,58.560001373291016,58.93000030517578,1468800,2014-03-14,0,1
2014-03-17,59.08000183105469,59.130001068115234,58.349998474121094,58.599998474121094,1234900,2014-03-17,0,1
2014-03-18,58.68000030517578,58.709999084472656,58.15999984741211,58.38999938964844,1639100,2014-03-18,0,1
2014-03-19,58.45000076293945,59.0,57.060001373291016,57.18000030517578,2013900,2014-03-19,0,1
2014-03-20,57.06999969482422,57.119998931884766,56.45000076293945,57.04999923706055,2027200,2014-03-20,0,1
2014-03-21,57.7400016784668,58.27000045776367,57.290000915527344,58.22999954223633,3762100,2014-03-21,0,1
