date,close,v,RSI,OT
2008-01-22,82.45,49.62,19.814410480349338,1
2008-01-23,83.45,47.42,23.964803312629385,1
2008-01-24,86.0,31.19,31.832946635730863,0
2008-01-25,83.94,28.24,31.381518755718204,1
2008-01-28,85.13,23.69,36.2776025236593,1
2008-01-29,85.08,22.49,38.20598006644518,1
2008-01-30,85.28,24.14,34.109311740890675,0
2008-01-31,86.4,32.97,37.34359961501446,0
2008-02-01,85.95,28.44,39.05385002516358,0
2008-02-04,85.44,18.84,36.42317380352645,0
2008-02-05,82.11,30.6,33.832475432849805,1
2008-02-06,81.44,29.22,36.98209718670077,1
2008-02-07,81.89,26.61,44.18872266973533,1
2008-02-08,81.71,24.18,39.71934106162294,1
2008-02-11,83.22,22.7,52.52128356254091,1
2008-02-12,84.38,25.15,53.013609850939694,1
2008-02-13,85.49,21.55,48.177269478198696,1
2008-02-14,85.55,21.83,56.713928273561294,1
2008-02-15,85.37,23.97,51.09289617486343,1
2008-02-19,87.01,22.6,57.67700875099445,1
2008-02-20,88.1,24.73,60.475482912332815,1
2008-02-21,86.92,30.11,51.923076923076906,1
2008-02-22,87.17,23.49,54.57957957957958,1
2008-02-25,89.13,23.88,62.49153689911984,0
2008-02-26,89.89,21.33,81.88524590163938,0
2008-02-27,89.39,20.33,83.04239401496264,0
2008-02-28,89.38,25.0,82.3123382226057,0
2008-02-29,87.01,26.54,69.23076923076931,0
2008-03-03,87.75,23.19,67.40968485780175,0
2008-03-04,86.69,30.37,58.94655305964371,0
2008-03-05,87.19,30.84,56.910569105691096,0
2008-03-06,84.51,28.98,46.51474530831101,1
2008-03-07,82.49,30.75,41.40811455847252,1
2008-03-10,82.46,32.96,34.98349834983492,1
2008-03-11,86.68,34.84,46.11597374179435,0
2008-03-12,85.97,26.62,47.33295901179112,1
2008-03-13,87.05,29.35,49.67811158798282,0
2008-03-14,85.91,35.74,40.96520763187432,0
2008-03-17,85.79,39.03,38.06752037252622,1
2008-03-18,88.47,33.34,47.62396694214876,0
2008-03-19,84.43,35.08,39.41855493800771,1
2008-03-20,85.0,44.96,45.34506716072254,1
2008-03-24,85.95,22.34,45.87155963302753,0
2008-03-25,85.2,27.08,46.53327128897162,0
2008-03-26,86.26,23.03,47.89115646258505,1
2008-03-27,86.2,21.76,54.3489449305198,1
2008-03-28,85.22,21.67,57.42251223491029,1
2008-03-31,84.58,36.85,55.57894736842106,1
2008-04-01,87.02,23.96,50.98722415795584,1
2008-04-02,88.52,23.24,57.07940033314825,1
2008-04-03,88.23,20.08,53.426248548199794,1
2008-04-04,88.74,18.61,58.52923447860158,1
2008-04-07,88.92,19.59,59.39939939939939,0
2008-04-08,89.61,15.83,53.8881309686221,1
2008-04-09,89.7,21.92,74.60317460317461,1
2008-04-10,89.55,21.77,72.10884353741494,1
2008-04-11,88.62,17.92,62.999026290165546,1
2008-04-14,89.7,19.61,71.22641509433963,1
2008-04-15,90.8,19.5,71.3345864661654,1
2008-04-16,92.89,26.87,76.40094711917918,1
2008-04-17,93.38,22.89,83.49753694581285,1
2008-04-18,94.0,25.91,88.73355263157902,0
2008-04-21,94.26,17.25,86.27254509018044,0
2008-04-22,94.39,20.72,84.08826945412319,0
2008-04-23,94.22,23.94,85.27679623085983,0
2008-04-24,92.6,23.54,70.10416666666664,1
2008-04-25,92.46,23.37,68.5146443514644,0
2008-04-28,92.45,17.32,65.99099099099102,0
2008-04-29,91.79,29.46,61.058201058201085,0
2008-04-30,93.07,29.78,66.63516068052934,0
2008-05-01,89.7,43.68,54.14746543778803,0
2008-05-02,89.61,27.51,49.62593516209475,1
2008-05-05,89.51,21.28,44.152311876699926,0
2008-05-06,90.07,28.06,35.157894736842,0
2008-05-07,88.82,27.58,27.77777777777769,1
2008-05-08,89.93,24.33,31.06976744186045,0
2008-05-09,88.82,24.06,26.551724137930947,1
2008-05-12,89.19,23.05,28.040540540540505,1
2008-05-13,89.68,21.16,31.332236842105303,1
2008-05-14,89.91,24.18,37.51160631383471,1
2008-05-15,91.3,28.39,45.174708818635615,1
2008-05-16,92.67,29.84,50.82212257100149,0
2008-05-19,94.36,25.2,58.917418459403166,0
2008-05-20,94.56,26.9,55.5888972243061,0
2008-05-21,93.67,43.22,68.294930875576,0
2008-05-22,92.51,32.04,62.16442953020135,0
2008-05-23,90.7,25.35,54.36537050623623,0
2008-05-27,89.8,25.89,49.03364352183252,0
2008-05-28,90.43,22.32,56.029962546816506,0
2008-05-29,89.35,24.69,47.82282282282279,0
2008-05-30,88.76,27.13,49.76562500000005,1
2008-06-02,87.81,25.96,44.84304932735429,0
2008-06-03,85.71,31.49,36.757838559039335,1
2008-06-04,85.75,34.11,35.945945945945994,1
2008-06-05,89.31,30.27,44.13671184443138,0
2008-06-06,86.79,34.33,33.77483443708613,1
2008-06-09,89.07,24.23,35.86317477284874,0
2008-06-10,87.89,27.28,33.06246825799899,1
2008-06-11,88.61,24.09,37.03893442622951,1
2008-06-12,87.06,32.26,36.31341034655951,1
2008-06-13,88.36,21.05,43.96907216494845,0
2008-06-16,87.99,18.5,45.204027556968725,0
2008-06-17,88.62,22.03,45.204027556968725,0
2008-06-18,87.83,23.5,45.90958019375674,0
2008-06-19,85.79,26.6,42.586120818771846,1
2008-06-20,84.91,36.19,42.73547094188376,1
2008-06-23,87.7,23.6,54.818401937046026,0
2008-06-24,86.92,21.59,52.73492286115008,1
2008-06-25,87.6,27.12,45.38087520259317,1
2008-06-26,86.41,26.34,48.894062863795085,1
2008-06-27,86.55,28.28,41.62234042553193,1
2008-06-30,88.13,26.94,50.77720207253884,0
2008-07-01,88.35,26.03,49.12985274431056,0
2008-07-02,87.41,34.28,51.22121423586879,0
2008-07-03,88.27,23.13,49.67602591792655,0
2008-07-07,86.95,29.64,46.49595687331539,0
2008-07-08,85.94,35.91,41.19579500657027,0
2008-07-09,84.31,29.08,39.04109589041096,0
2008-07-10,86.06,30.95,50.85605580215598,0
2008-07-11,85.48,29.44,51.84227537168716,0
2008-07-14,85.42,21.55,41.0518053375196,0
2008-07-15,82.19,34.41,34.4305464121132,1
2008-07-16,80.81,40.42,28.634361233480178,1
2008-07-17,80.33,39.19,29.973649538866923,1
2008-07-18,81.54,36.14,34.584615384615404,0
2008-07-21,82.98,24.81,34.016139044072034,0
2008-07-22,82.86,27.91,32.854465958775776,0
2008-07-23,80.99,31.08,31.05076741440378,0
2008-07-24,80.8,36.79,27.04363859864783,1
2008-07-25,81.7,27.55,33.43848580441643,0
2008-07-28,80.68,24.02,33.41740226986133,0
2008-07-29,80.9,25.87,38.20069204152252,0
2008-07-30,84.38,36.41,44.80840543881333,0
2008-07-31,80.43,40.88,37.08439897698212,0
2008-08-01,79.72,28.77,35.89108910891089,0
2008-08-04,76.6,37.89,36.08760577401692,1
2008-08-05,78.35,40.09,43.9882697947214,0
2008-08-06,78.33,30.79,45.00000000000001,0
2008-08-07,77.44,25.35,39.58333333333331,1
2008-08-08,78.72,29.32,39.08811475409834,0
2008-08-11,78.16,24.57,38.22645290581161,0
2008-08-12,76.88,26.01,39.39081053175013,0
2008-08-13,78.17,30.66,43.575964826575486,0
2008-08-14,77.45,25.85,39.52686052242484,1
2008-08-15,77.07,26.28,40.81424936386765,1
2008-08-18,76.53,22.94,39.05858788182272,1
2008-08-19,77.95,22.14,32.049134561697414,1
2008-08-20,78.81,25.97,44.53441295546558,1
2008-08-21,80.35,24.64,52.01277955271564,1
2008-08-22,80.3,19.67,64.70588235294119,1
2008-08-25,78.71,20.64,51.44927536231884,1
2008-08-26,79.95,18.75,55.9384164222874,0
2008-08-27,80.47,20.39,61.41672946495855,0
2008-08-28,81.18,20.29,59.68503937007876,0
2008-08-29,80.01,22.06,56.949661908339614,0
2008-09-02,77.32,31.78,51.4945652173913,0
2008-09-03,78.02,27.02,49.46921443736729,0
2008-09-04,76.14,32.2,45.71615434924787,0
2008-09-05,75.62,27.87,45.301360985094014,0
2008-09-08,76.77,31.22,50.74812967581045,1
2008-09-09,73.26,38.47,37.06563706563707,0
2008-09-10,75.25,31.4,40.75804776739356,1
2008-09-11,75.56,35.64,36.71658347199115,0
2008-09-12,77.5,28.65,42.971887550200805,1
2008-09-15,73.25,40.2,37.90965456155891,1
2008-09-16,76.43,42.58,42.82218597063623,1
2008-09-17,75.28,43.49,39.68190854870777,1
2008-09-18,77.75,48.24,43.626904496469706,1
2008-09-19,79.61,58.87,49.27536231884057,1
2008-09-22,78.88,32.0,53.0421216848674,1
2008-09-23,77.69,27.87,49.36854190585535,0
2008-09-24,78.03,27.54,53.84302562017081,0
2008-09-25,80.67,36.15,59.45338824410333,0
2008-09-26,80.65,28.94,57.58405003909306,0
2008-09-29,74.06,58.79,51.395673412421495,1
2008-09-30,77.66,42.03,53.98083911463495,0
2008-10-01,78.58,34.34,54.889896373056985,0
2008-10-02,77.5,44.1,50.0,0
2008-10-03,77.94,44.28,58.94696680656237,0
2008-10-06,77.32,65.94,51.88160676532766,0
2008-10-07,76.07,62.79,51.66315789473683,0
2008-10-08,77.0,74.94,48.31157136425034,0
2008-10-09,68.0,68.79,30.221465076661005,0
2008-10-10,62.36,112.9,25.89025102159954,1
2008-10-13,73.08,64.89,44.736241150947706,0
2008-10-14,72.46,64.13,43.68050828227819,1
2008-10-15,62.35,61.26,32.22739619712844,1
2008-10-16,69.45,78.12,40.446946434663936,0
2008-10-17,68.04,58.4,44.36751497005989,1
2008-10-20,74.99,44.88,47.64923402007396,0
2008-10-21,71.5,43.8,44.03638814016172,0
2008-10-22,64.57,52.1,40.08587639932525,1
2008-10-23,70.39,64.69,44.65221702790764,1
2008-10-24,69.04,54.63,44.19517666853619,1
2008-10-27,66.09,48.79,43.16625582032321,1
2008-10-28,74.86,69.02,48.67672520405639,0
2008-10-29,74.65,62.71,54.61357014014154,1
2008-10-30,75.05,56.16,59.49423911417029,0
2008-10-31,74.12,52.84,50.9116409537167,0
2008-11-03,74.29,35.46,51.61689344407141,0
2008-11-04,77.49,48.26,65.23752012882449,0
2008-11-05,73.69,45.4,54.57093574816732,0
2008-11-06,69.96,52.87,51.971252566735096,0
2008-11-07,73.95,44.69,48.86313948404023,1
2008-11-10,74.02,38.05,52.97731568998109,0
2008-11-11,72.65,42.01,60.99020674646357,1
2008-11-12,68.93,50.52,47.893825735718416,1
2008-11-13,75.41,72.79,58.00452374968585,0
2008-11-14,73.68,54.0,59.83925330567801,0
2008-11-17,73.38,48.7,47.54152823920264,1
2008-11-18,76.33,57.79,52.557856272838,1
2008-11-19,73.42,57.45,47.6944837340877,1
2008-11-20,68.51,76.89,42.86803966437834,1
2008-11-21,75.81,84.56,51.635815755488586,1
2008-11-24,78.8,75.0,51.41621621621621,0
2008-11-25,78.11,56.81,55.12285581826612,0
2008-11-26,80.89,46.7,62.95330647072768,0
2008-11-28,80.15,19.65,57.96096558808424,0
2008-12-01,74.31,55.59,50.32431223439947,1
2008-12-02,77.61,54.66,55.31732418524872,1
2008-12-03,78.93,57.47,61.30198915009042,0
2008-12-04,76.27,65.36,51.06382978723405,1
2008-12-05,76.6,65.01,53.74167093798052,1
2008-12-08,79.6,51.59,57.45445829338446,1
2008-12-09,78.2,47.07,52.327607667413496,1
2008-12-10,80.07,44.1,58.49731663685152,1
2008-12-11,80.02,50.08,66.79311351035892,1
2008-12-12,80.45,44.33,58.46715328467153,0
2008-12-15,79.95,43.41,52.30830991569652,0
2008-12-16,83.14,58.48,59.175483400218894,0
2008-12-17,81.06,52.26,50.31823287158368,0
2008-12-18,77.0,59.7,44.755244755244746,0
2008-12-19,75.02,68.48,51.35651509361864,1
2008-12-22,74.91,41.02,44.12532637075718,1
2008-12-23,75.1,32.76,41.2356979405034,1
2008-12-24,75.78,11.33,48.766985405133376,1
2008-12-26,77.19,17.06,51.40811455847256,1
2008-12-29,78.02,22.85,45.79339723109691,1
2008-12-30,78.59,25.13,51.08635097493036,1
2008-12-31,79.83,30.03,49.30715935334874,0
2009-01-02,81.64,35.83,54.24528301886793,0
2009-01-05,81.63,43.37,53.16184351554124,0
2009-01-06,80.3,41.97,50.897896357106205,0
2009-01-07,78.25,35.35,36.675749318801095,0
2009-01-08,79.09,30.82,44.24313267095267,0
2009-01-09,77.57,32.93,51.956074124914174,0
2009-01-12,76.54,38.12,55.58002936857566,1
2009-01-13,77.92,47.14,60.10745466756214,0
2009-01-14,75.1,48.12,50.0,1
2009-01-15,76.66,55.59,52.39130434782607,1
2009-01-16,78.1,45.53,52.46880086814975,0
2009-01-20,76.29,42.84,45.54353426069039,1
2009-01-21,79.26,43.32,51.53599266391564,0
2009-01-22,78.23,40.2,46.29629629629631,1
2009-01-23,78.04,46.02,40.990990990991,0
2009-01-26,78.6,42.76,42.62055528494885,0
2009-01-27,78.92,38.52,46.46516393442624,0
2009-01-28,79.25,45.36,52.80898876404495,0
2009-01-29,77.0,39.1,44.56012493492971,1
2009-01-30,76.48,51.91,47.00713893465131,1
2009-02-02,76.69,36.11,50.431282346175934,1
2009-02-03,78.12,39.57,50.573394495412856,1
2009-02-04,77.66,29.61,58.488063660477465,0
2009-02-05,79.78,39.6,59.974424552429696,0
2009-02-06,80.34,36.4,57.58807588075884,0
2009-02-09,79.48,27.77,61.5496017378711,0
2009-02-10,76.14,43.84,38.99858956276445,0
2009-02-11,74.58,47.91,37.59347382732833,0
2009-02-12,75.22,42.86,40.69920844327174,0
2009-02-13,74.59,30.39,36.83519369665139,0
2009-02-17,71.28,41.84,29.03402854006588,0
2009-02-18,71.94,34.33,30.296495956873315,1
2009-02-19,72.16,31.24,35.35108958837772,0
2009-02-20,71.23,42.81,34.49497932663911,0
2009-02-23,69.3,40.72,30.187667560321746,0
2009-02-24,72.09,48.89,34.93253373313344,0
2009-02-25,72.05,55.51,35.68147013782543,0
2009-02-26,70.95,37.22,26.22509423801833,0
2009-02-27,67.9,64.95,20.46533713200381,0
2009-03-02,64.91,54.83,18.585597240189745,0
2009-03-03,64.36,48.93,21.12745098039217,1
2009-03-04,65.68,51.52,27.92658730158733,1
2009-03-05,62.22,50.25,21.71453437771977,1
2009-03-06,64.03,47.09,28.145695364238435,1
2009-03-09,64.57,42.73,34.31510051425899,1
2009-03-10,67.39,51.67,40.33970276008494,0
2009-03-11,65.77,37.47,37.194388777555126,1
2009-03-12,67.15,40.43,41.968503937007895,1
2009-03-13,67.2,35.23,45.53571428571431,1
2009-03-16,66.97,33.59,37.78625954198474,0
2009-03-17,69.09,30.84,43.576388888888914,1
2009-03-18,69.17,41.89,45.95821980018165,1
